Jour,date,S,I,R,D,S_abs,I_abs,R_abs,D_abs,V,V_abs,lits_par_mille
99,2020-04-12,0.9999730784020091,2.323746940914724e-05,1.910712649595071e-06,1.7734159322588982e-06,37456967.571428575,870.4285714285714,71.57142857142857,66.42857142857143,0.0,0.0,1.1
100,2020-04-13,0.9999706909646465,2.4503650246803057e-05,2.833651693910454e-06,1.971733412855592e-06,37456878.14285714,917.8571428571429,106.14285714285714,73.85714285714286,0.0,0.0,1.1
101,2020-04-14,0.9999683035272839,2.576983108445887e-05,3.7565907382258383e-06,2.1700508934522858e-06,37456788.71428572,965.2857142857143,140.71428571428572,81.28571428571429,0.0,0.0,1.1
102,2020-04-15,0.9999659160899214,2.7036011922114686e-05,4.6795297825412215e-06,2.3683683740489796e-06,37456699.28571428,1012.7142857142857,175.28571428571428,88.71428571428571,0.0,0.0,1.1
103,2020-04-16,0.9999635286525587,2.83021927597705e-05,5.602468826856606e-06,2.5666858546456742e-06,37456609.85714286,1060.142857142857,209.85714285714286,96.14285714285714,0.0,0.0,1.1
104,2020-04-17,0.9999611412151962,2.9568373597426316e-05,6.525407871171988e-06,2.765003335242368e-06,37456520.428571425,1107.5714285714287,244.42857142857142,103.57142857142857,0.0,0.0,1.1
105,2020-04-18,0.9999587537778336,3.083455443508213e-05,7.448346915487372e-06,2.963320815839062e-06,37456431.0,1155.0,279.0,111.0,0.0,0.0,1.1
106,2020-04-19,0.9999544060484514,3.3164784832093286e-05,9.366687160490008e-06,3.0624795561374094e-06,37456268.14285714,1242.2857142857142,350.85714285714283,114.71428571428571,0.0,0.0,1.1
107,2020-04-20,0.9999500583190689,3.549501522910444e-05,1.1285027405492643e-05,3.161638296435756e-06,37456105.28571428,1329.5714285714287,422.7142857142857,118.42857142857143,0.0,0.0,1.1
108,2020-04-21,0.9999457105896867,3.782524562611559e-05,1.320336765049528e-05,3.260797036734103e-06,37455942.428571425,1416.857142857143,494.57142857142856,122.14285714285714,0.0,0.0,1.1
109,2020-04-22,0.9999413628603043,4.0155476023126744e-05,1.5121707895497915e-05,3.35995577703245e-06,37455779.571428575,1504.142857142857,566.4285714285714,125.85714285714286,0.0,0.0,1.1
110,2020-04-23,0.999937015130922,4.2485706420137905e-05,1.704004814050055e-05,3.459114517330797e-06,37455616.71428572,1591.4285714285713,638.2857142857143,129.57142857142858,0.0,0.0,1.1
111,2020-04-24,0.9999326674015397,4.481593681714905e-05,1.895838838550319e-05,3.5582732576291436e-06,37455453.85714286,1678.7142857142858,710.1428571428571,133.28571428571428,0.0,0.0,1.1
112,2020-04-25,0.9999283196721575,4.714616721416021e-05,2.0876728630505823e-05,3.6574319979274907e-06,37455291.0,1766.0,782.0,137.0,0.0,0.0,1.1
113,2020-04-26,0.9999236973493405,4.9381052668576796e-05,2.31802624435905e-05,3.7413355474107068e-06,37455117.85714286,1849.7142857142858,868.2857142857143,140.14285714285714,0.0,0.0,1.1
114,2020-04-27,0.9999190750265236,5.1615938122993384e-05,2.5483796256675175e-05,3.8252390968939244e-06,37454944.71428572,1933.4285714285713,954.5714285714286,143.28571428571428,0.0,0.0,1.1
115,2020-04-28,0.9999144527037064,5.385082357740997e-05,2.7787330069759847e-05,3.90914264637714e-06,37454771.571428575,2017.142857142857,1040.857142857143,146.42857142857142,0.0,0.0,1.1
