Jour,date,S,I,R,D,S_abs,I_abs,R_abs,D_abs,V,V_abs,lits_par_mille
97,2020-04-10,0.9978889339977159,0.0012035406936123552,0.0006473176900257518,0.00026020761864600165,58912840.0,71054.0,38216.0,15362.0,0.0,0.0,3.18
98,2020-04-11,0.9978889339977159,0.0012035406936123552,0.0006473176900257518,0.00026020761864600165,58912840.0,71054.0,38216.0,15362.0,0.0,0.0,3.18
99,2020-04-12,0.9974207737079257,0.0010128990618026464,0.0012365705631840061,0.00032975666708764224,58885201.0,59799.0,73004.0,19468.0,0.0,0.0,3.18
100,2020-04-13,0.9974207737079257,0.0010128990618026464,0.0012365705631840061,0.00032975666708764224,58885201.0,59799.0,73004.0,19468.0,0.0,0.0,3.18
101,2020-04-14,0.9974207737079257,0.0010128990618026464,0.0012365705631840061,0.00032975666708764224,58885201.0,59799.0,73004.0,19468.0,0.0,0.0,3.18
102,2020-04-15,0.9974207737079257,0.0010128990618026464,0.0012365705631840061,0.00032975666708764224,58885201.0,59799.0,73004.0,19468.0,0.0,0.0,3.18
103,2020-04-16,0.9974207737079257,0.0010128990618026464,0.0012365705631840061,0.00032975666708764224,58885201.0,59799.0,73004.0,19468.0,0.0,0.0,3.18
104,2020-04-17,0.9974207737079257,0.0010128990618026464,0.0012365705631840061,0.00032975666708764224,58885201.0,59799.0,73004.0,19468.0,0.0,0.0,3.18
105,2020-04-18,0.9974207737079257,0.0010128990618026464,0.0012365705631840061,0.00032975666708764224,58885201.0,59799.0,73004.0,19468.0,0.0,0.0,3.18
106,2020-04-19,0.9970201129208243,0.0008688210768916393,0.0017176379096991146,0.00039342809258499417,58861547.0,51293.0,101405.0,23227.0,0.0,0.0,3.18
107,2020-04-20,0.9970201129208243,0.0008688210768916393,0.0017176379096991146,0.00039342809258499417,58861547.0,51293.0,101405.0,23227.0,0.0,0.0,3.18
108,2020-04-21,0.9970201129208243,0.0008688210768916393,0.0017176379096991146,0.00039342809258499417,58861547.0,51293.0,101405.0,23227.0,0.0,0.0,3.18
109,2020-04-22,0.9970201129208243,0.0008688210768916393,0.0017176379096991146,0.00039342809258499417,58861547.0,51293.0,101405.0,23227.0,0.0,0.0,3.18
110,2020-04-23,0.9970201129208243,0.0008688210768916393,0.0017176379096991146,0.00039342809258499417,58861547.0,51293.0,101405.0,23227.0,0.0,0.0,3.18
111,2020-04-24,0.9970201129208243,0.0008688210768916393,0.0017176379096991146,0.00039342809258499417,58861547.0,51293.0,101405.0,23227.0,0.0,0.0,3.18
112,2020-04-25,0.9970201129208243,0.0008688210768916393,0.0017176379096991146,0.00039342809258499417,58861547.0,51293.0,101405.0,23227.0,0.0,0.0,3.18
113,2020-04-26,0.996691067666312,0.000729706041613706,0.0021323236875725304,0.00044690260450176456,58842121.0,43080.0,125887.0,26384.0,0.0,0.0,3.18
114,2020-04-27,0.996691067666312,0.000729706041613706,0.0021323236875725304,0.00044690260450176456,58842121.0,43080.0,125887.0,26384.0,0.0,0.0,3.18
115,2020-04-28,0.996691067666312,0.000729706041613706,0.0021323236875725304,0.00044690260450176456,58842121.0,43080.0,125887.0,26384.0,0.0,0.0,3.18
116,2020-04-29,0.996691067666312,0.000729706041613706,0.0021323236875725304,0.00044690260450176456,58842121.0,43080.0,125887.0,26384.0,0.0,0.0,3.18
117,2020-04-30,0.996691067666312,0.000729706041613706,0.0021323236875725304,0.00044690260450176456,58842121.0,43080.0,125887.0,26384.0,0.0,0.0,3.18
118,2020-05-01,0.996691067666312,0.000729706041613706,0.0021323236875725304,0.00044690260450176456,58842121.0,43080.0,125887.0,26384.0,0.0,0.0,3.18
119,2020-05-02,0.996691067666312,0.000729706041613706,0.0021323236875725304,0.00044690260450176456,58842121.0,43080.0,125887.0,26384.0,0.0,0.0,3.18
120,2020-05-03,0.9964543197242592,0.0005657931965650562,0.0024935857687131318,0.00048630131046261603,58828144.0,33403.0,147215.0,28710.0,0.0,0.0,3.18
121,2020-05-04,0.9964543197242592,0.0005657931965650562,0.0024935857687131318,0.00048630131046261603,58828144.0,33403.0,147215.0,28710.0,0.0,0.0,3.18
122,2020-05-05,0.9964543197242592,0.0005657931965650562,0.0024935857687131318,0.00048630131046261603,58828144.0,33403.0,147215.0,28710.0,0.0,0.0,3.18
123,2020-05-06,0.9964543197242592,0.0005657931965650562,0.0024935857687131318,0.00048630131046261603,58828144.0,33403.0,147215.0,28710.0,0.0,0.0,3.18
124,2020-05-07,0.9964543197242592,0.0005657931965650562,0.0024935857687131318,0.00048630131046261603,58828144.0,33403.0,147215.0,28710.0,0.0,0.0,3.18
125,2020-05-08,0.9964543197242592,0.0005657931965650562,0.0024935857687131318,0.00048630131046261603,58828144.0,33403.0,147215.0,28710.0,0.0,0.0,3.18
